timestamp,device_id,temperature,power_consumption,user_activity,device_mode,anomaly_flag,decision_label
04/03/2022 13:00,1938,18.47530367,197.5408945,Idle,Auto,0,Normal
18/04/2022 18:00,1815,26.21643173,441.3990033,Active,Auto,0,Normal
21/04/2022 13:00,1805,28.19583513,141.8491787,Active,Manual,0,Warning
13/02/2022 23:00,1254,20.84339326,61.21311522,Active,Auto,0,Normal
30/01/2022 09:00,1319,19.76759145,342.7004553,Idle,Manual,0,Normal
05/01/2022 10:00,1398,26.83183034,462.9704002,Idle,Auto,0,Normal
25/01/2022 13:00,1346,25.25571995,114.0095455,Sleep,Standby,0,Normal
13/04/2022 20:00,1046,29.6368209,57.00419428,Sleep,Manual,0,Normal
11/04/2022 13:00,1294,21.38255137,224.616725,Idle,Manual,0,Warning
08/03/2022 16:00,1424,19.23459118,153.2163309,Active,Standby,0,Normal
13/04/2022 16:00,1321,26.9777232,160.2095438,Active,Auto,0,Critical
10/01/2022 12:00,1084,20.3575166,343.1813491,Active,Auto,0,Normal
08/02/2022 03:00,1958,29.02913677,198.5688069,Active,Standby,0,Normal
03/02/2022 02:00,1339,23.26326178,411.9279715,Sleep,Auto,0,Normal
06/05/2022 21:00,1000,24.54301779,444.9059099,Idle,Standby,0,Normal
28/05/2022 15:00,1395,24.58603326,65.93350143,Active,Standby,0,Normal
14/02/2022 17:00,1655,23.36011113,37.50263265,Sleep,Manual,0,Normal
20/05/2022 15:00,1104,28.26027565,278.8522224,Sleep,Standby,0,Normal
14/03/2022 16:00,1398,26.35629636,182.6066945,Idle,Auto,0,Normal
15/02/2022 04:00,1957,23.63336369,137.1850493,Active,Auto,0,Normal
08/02/2022 14:00,1285,21.92710925,305.1638581,Active,Auto,0,Normal
08/05/2022 01:00,1097,23.72439932,34.36963413,Sleep,Auto,0,Normal
16/02/2022 13:00,1064,20.33653886,352.9370984,Idle,Auto,0,Normal
27/01/2022 18:00,1060,29.63905779,191.742152,Active,Auto,0,Normal
18/07/2022 15:00,1928,24.35149275,236.2678594,Sleep,Standby,0,Normal
21/01/2022 21:00,1418,25.84894096,34.10396047,Active,Standby,0,Warning
19/06/2022 10:00,1555,23.07134564,38.29959836,Sleep,Manual,1,Normal
14/01/2022 21:00,1626,23.89074795,415.1695558,Active,Auto,1,Normal
15/07/2022 04:00,1178,20.52887218,321.8740128,Idle,Auto,0,Normal
21/01/2022 06:00,1167,24.48016129,347.8675738,Sleep,Manual,0,Normal
23/03/2022 18:00,1572,22.17884298,403.4915053,Active,Auto,0,Warning
17/01/2022 09:00,1445,18.29724983,149.4713394,Sleep,Auto,0,Normal
21/07/2022 18:00,1964,27.72787763,115.517389,Sleep,Manual,0,Warning
22/07/2022 18:00,1178,28.30139396,314.3237859,Idle,Standby,0,Normal
15/03/2022 03:00,1745,29.55434036,108.6465115,Sleep,Manual,0,Normal
15/04/2022 19:00,1100,24.54930051,334.4405773,Sleep,Standby,0,Normal
30/05/2022 09:00,1273,18.29559498,415.6026176,Active,Auto,1,Normal
29/06/2022 19:00,1749,21.89421574,180.0684232,Idle,Auto,0,Normal
26/07/2022 22:00,1050,22.17814265,428.2031286,Idle,Standby,0,Normal
29/03/2022 11:00,1490,21.03380091,492.5045253,Active,Manual,0,Normal
30/05/2022 23:00,1068,21.1073871,241.2166335,Idle,Standby,0,Normal
21/06/2022 17:00,1109,26.7577194,351.6990332,Active,Manual,0,Normal
02/01/2022 05:00,1064,27.82797493,214.7895107,Active,Manual,0,Normal
03/01/2022 17:00,1980,19.53507819,266.5764772,Sleep,Auto,0,Normal
04/02/2022 22:00,1539,27.02854812,77.14477992,Sleep,Standby,0,Normal
12/06/2022 18:00,1870,27.76949459,387.6871144,Active,Auto,0,Critical
07/06/2022 05:00,1512,27.89036964,413.725394,Active,Auto,0,Normal
13/07/2022 03:00,1913,28.59341207,480.6307309,Active,Auto,0,Warning
12/05/2022 17:00,1609,26.71255126,337.1861556,Active,Auto,0,Normal
21/04/2022 19:00,1425,22.86327978,188.0683305,Active,Auto,0,Normal
12/07/2022 07:00,1944,29.04128221,283.5536804,Sleep,Manual,0,Normal
12/07/2022 20:00,1630,22.49566115,238.5857263,Active,Auto,0,Normal
13/04/2022 03:00,1487,19.89318306,145.6840341,Active,Standby,0,Normal
29/04/2022 14:00,1257,25.21370187,409.999967,Idle,Auto,0,Normal
17/02/2022 16:00,1632,21.2362636,346.5228111,Sleep,Auto,0,Critical
09/05/2022 06:00,1921,25.72942592,305.3470839,Active,Manual,0,Warning
15/02/2022 23:00,1712,19.00290397,352.0613883,Sleep,Standby,0,Critical
08/01/2022 00:00,1381,24.55510377,417.0213954,Sleep,Standby,0,Normal
11/03/2022 14:00,1097,20.16699203,165.8797577,Sleep,Standby,0,Normal
18/04/2022 02:00,1689,23.5552291,156.1433396,Active,Standby,0,Normal
10/04/2022 01:00,1855,25.12751072,474.8282039,Active,Manual,0,Normal
03/07/2022 03:00,1493,21.02898773,444.2168679,Sleep,Auto,0,Normal
27/06/2022 09:00,1617,21.24793414,242.8344112,Active,Auto,0,Normal
10/06/2022 22:00,1500,28.16411721,358.6294298,Idle,Standby,0,Warning
01/01/2022 23:00,1190,24.28219763,113.5643358,Active,Standby,0,Normal
20/04/2022 17:00,1130,25.48504395,229.8155684,Active,Standby,0,Critical
20/05/2022 04:00,1486,27.3326804,358.961051,Idle,Auto,1,Normal
03/04/2022 07:00,1779,21.07893563,256.5511776,Idle,Standby,0,Normal
03/06/2022 10:00,1086,21.11998036,157.1129971,Idle,Manual,0,Normal
16/07/2022 20:00,1596,22.83100054,111.7222847,Sleep,Auto,1,Normal
21/03/2022 11:00,1663,26.19737729,282.042136,Active,Standby,0,Normal
04/01/2022 12:00,1370,23.91738419,376.0243967,Idle,Manual,0,Warning
10/01/2022 11:00,1913,29.15163112,253.5862971,Active,Manual,0,Normal
13/01/2022 08:00,1137,26.74776801,196.423752,Idle,Manual,0,Normal
11/02/2022 17:00,1951,28.6907595,459.7380625,Idle,Manual,0,Normal
31/03/2022 02:00,1693,19.90714103,417.4386243,Idle,Manual,0,Normal
30/01/2022 15:00,1757,26.82551458,210.1680397,Active,Auto,0,Normal
27/04/2022 17:00,1084,26.1470599,470.6828854,Sleep,Auto,0,Normal
16/04/2022 07:00,1595,18.95336323,151.0422977,Idle,Manual,1,Warning
06/06/2022 08:00,1266,27.6524427,492.1567677,Sleep,Auto,0,Normal
19/05/2022 09:00,1057,29.5161426,117.5664136,Idle,Auto,0,Normal
13/05/2022 13:00,1526,28.96337424,143.7764316,Active,Standby,0,Normal
24/06/2022 07:00,1781,28.27626964,333.1976985,Sleep,Standby,0,Normal
09/03/2022 07:00,1341,24.47609655,408.6221973,Active,Auto,0,Normal
07/05/2022 00:00,1110,20.25157557,227.7741532,Sleep,Auto,0,Normal
28/02/2022 21:00,1230,28.16493798,37.68179835,Sleep,Manual,0,Normal
01/02/2022 19:00,1854,22.49417661,364.9151264,Idle,Manual,0,Normal
28/01/2022 07:00,1226,24.05977514,136.4747851,Sleep,Manual,0,Normal
19/07/2022 21:00,1595,19.05234079,161.5501089,Idle,Manual,0,Normal
10/06/2022 09:00,1835,24.17682524,143.939012,Active,Manual,0,Normal
23/06/2022 01:00,1065,20.86542962,138.4208919,Sleep,Manual,0,Normal
20/01/2022 12:00,1502,28.31861526,220.2524394,Idle,Standby,0,Normal
07/01/2022 13:00,1171,23.55488082,342.3834471,Sleep,Standby,0,Normal
23/02/2022 23:00,1057,21.07292077,168.7167671,Idle,Standby,0,Normal
21/01/2022 17:00,1747,23.13653373,434.5465026,Sleep,Standby,0,Normal
17/07/2022 12:00,1839,24.03059685,416.6401307,Idle,Standby,0,Normal
03/05/2022 12:00,1107,24.53511672,179.8260374,Active,Manual,0,Normal
25/05/2022 00:00,1931,28.35066433,234.262795,Idle,Auto,0,Normal
